Height: 480 Width: 640
Span: 25
MaxThreshold: 10 MinThreshold: 60
{ (125.0, 325.0) 44.9615020752 253.363265991 }
{ (175.0, 325.0) 53.6502876282 268.211242676 }
{ (225.0, 325.0) 12.9265260696 304.704711914 }
{ (250.0, 325.0) 10.6079721451 274.250457764 }
{ (575.0, 325.0) 56.3307304382 318.743408203 }
{ (25.0, 350.0) 32.748588562 294.29107666 }
{ (50.0, 350.0) 17.067899704 293.326812744 }
{ (100.0, 350.0) 42.9750366211 252.935256958 }
{ (225.0, 350.0) 24.2392921448 252.340759277 }
{ (250.0, 350.0) 25.349199295 226.916275024 }
{ (400.0, 350.0) 28.2034721375 323.975494385 }
{ (425.0, 350.0) 29.9829750061 302.957244873 }
{ (450.0, 350.0) 37.71692276 260.772888184 }
{ (475.0, 350.0) 30.5513019562 276.362976074 }
{ (25.0, 375.0) 19.8964633942 289.218566895 }
{ (50.0, 375.0) 36.6494255066 292.139221191 }
{ (75.0, 375.0) 56.3472137451 292.794464111 }
{ (400.0, 375.0) 23.9106140137 332.252593994 }
{ (500.0, 375.0) 45.1977310181 282.513885498 }
{ (525.0, 375.0) 17.3102741241 273.638031006 }
{ (550.0, 375.0) 12.2691755295 271.638275146 }
{ (575.0, 375.0) 12.6388263702 270.6668396 }
{ (600.0, 375.0) 50.214553833 269.484924316 }
{ (50.0, 400.0) 40.7815971375 293.11138916 }
{ (300.0, 400.0) 25.0082588196 182.426254272 }
{ (400.0, 400.0) 11.075966835 335.352386475 }
{ (500.0, 400.0) 57.2672195435 271.517608643 }
{ (525.0, 400.0) 40.2401885986 267.320617676 }
{ (550.0, 400.0) 20.8480148315 280.576293945 }
{ (575.0, 400.0) 20.792547226 284.411468506 }
{ (600.0, 400.0) 46.3659591675 263.564819336 }
{ (300.0, 425.0) 52.1683731079 221.365264893 }
{ (375.0, 425.0) 42.242149353 324.585754395 }
{ (550.0, 425.0) 44.2996520996 292.221923828 }
{ (575.0, 425.0) 28.3732719421 283.05065918 }
{ (600.0, 425.0) 46.7829360962 269.104522705 }
{ (50.0, 450.0) 46.7336654663 217.474990845 }
{ (75.0, 450.0) 56.2540512085 276.315765381 }
{ (225.0, 450.0) 59.0394630432 273.592254639 }
{ (300.0, 450.0) 18.2612400055 248.152008057 }
{ (325.0, 450.0) 30.9881362915 246.369522095 }
{ (575.0, 450.0) 57.735710144 287.400177002 }
{ (575.0, 475.0) 57.6082878113 290.84085083 }
{ (625.0, 475.0) 55.2693481445 278.786499023 }
{ (175.0, 25.0) 11.5090332031 6.34830141068 }
{ (200.0, 25.0) 10.908657074 6.82142734528 }
{ (400.0, 25.0) 11.6886100769 12.4031915665 }
{ (425.0, 25.0) 11.7461051941 4.20754861832 }
{ (500.0, 25.0) 11.6130962372 340.693145752 }
{ (525.0, 25.0) 27.0766162872 345.83001709 }
{ (550.0, 25.0) 38.5872573853 344.397827148 }
{ (575.0, 25.0) 54.9548149109 331.875 }
{ (200.0, 50.0) 10.239153862 3.73749279976 }
{ (225.0, 50.0) 10.3121843338 6.82450962067 }
{ (250.0, 50.0) 10.1786937714 8.08409309387 }
{ (375.0, 50.0) 12.6904344559 25.6274681091 }
{ (400.0, 50.0) 11.6922092438 19.9587421417 }
{ (425.0, 50.0) 11.5110025406 11.1560850143 }
{ (450.0, 50.0) 11.4906358719 6.82502603531 }
{ (475.0, 50.0) 12.4413585663 7.21991634369 }
{ (500.0, 50.0) 20.9678440094 35.9106407166 }
{ (525.0, 50.0) 32.2178878784 358.129180908 }
{ (550.0, 50.0) 42.0306510925 348.069244385 }
{ (575.0, 50.0) 57.4223365784 335.436279297 }
{ (200.0, 75.0) 11.2676105499 5.08051919937 }
{ (225.0, 75.0) 11.9543085098 3.46789193153 }
{ (250.0, 75.0) 16.0754776001 3.15570521355 }
{ (275.0, 75.0) 17.0460891724 8.98909378052 }
{ (375.0, 75.0) 12.8752527237 15.917386055 }
{ (400.0, 75.0) 12.8287687302 20.1953430176 }
{ (425.0, 75.0) 11.5834798813 20.0025348663 }
{ (450.0, 75.0) 11.6910572052 16.8593883514 }
{ (475.0, 75.0) 15.6993131638 38.6992492676 }
